,"name_orig","name_joint"
"1","Abies","Abies"
"2","Abies alba","Abies"
"3","Acer","Acer"
"4","Achillea","Achillea"
"5","Achillea-type","Achillea"
"6","Allium","Allium"
"7","Allium-type","Allium"
"8","Alnus","Alnus"
"9","Alnus glutinosa-type","Alnus"
"10","Alnus viridis","Alnus"
"11","Amaranthaceae","Amaranthaceae"
"12","Amaranthaceae-type","Amaranthaceae"
"13","Anemone nemorosa","Anemone"
"14","Anemone nemorosa-type","Anemone"
"15","Anemone-type","Anemone"
"16","Anthemideae","Anthemideae"
"17","Apiaceae","Apiaceae"
"18","Apiaceae undiff.","Apiaceae"
"19","Arctium","Arctium"
"20","Artemisia","Artemisia"
"21","Aster-type","Aster"
"22","Asteraceae","Asteraceae"
"23","Asteroideae","Asteroideae"
"24","Avena-type","Cerealia"
"25","Betula","Betula"
"26","Betula nana","Betula"
"27","Betula pubescens-type","Betula"
"28","Bistorta officinalis","Bistorta"
"29","Bistorta officinalis-type","Bistorta"
"30","Bistorta officinalis/B. vivipara","Bistorta"
"31","Bistorta vivipara","Bistorta"
"32","Brassicaceae","Brassicaceae"
"33","Bupleurum-type","Bupleurum"
"34","Buxus","Buxus"
"35","Buxus sempervirens","Buxus"
"36","Calluna","Calluna"
"37","Calluna vulgaris","Calluna"
"38","Caltha palustris","Calluna"
"39","Caltha-type","Caltha"
"40","Campanula","Campanulaceae"
"41","Campanulaceae","Campanulaceae"
"42","Cannabaceae","Cannabaceae"
"43","Cannabaceae sensu stricto","Cannabaceae"
"44","Cannabis sativa","Cannabaceae"
"45","Carduus","Carduus"
"46","Carduus-type","Carduus"
"47","Carpinus","Carpinus"
"48","Carpinus betulus","Carpinus"
"49","Carum-type","Carum"
"50","Caryophyllaceae","Caryophyllaceae"
"51","Caryophyllaceae undiff.","Caryophyllaceae"
"52","Castanea","Castanea"
"53","Castanea sativa","Castanea"
"54","Centaurea","Centaurea"
"55","Centaurea cyanus","Centaurea"
"56","Centaurea montana-type","Centaurea"
"57","Centaurea nigra","Centaurea"
"58","Centaurea nigra-type","Centaurea"
"59","Centaurea scabiosa","Centaurea"
"60","Centaurea scabiosa-type","Centaurea"
"61","Centaurium","Centaurium"
"62","Cerastium","Cerastium"
"63","Cerastium-type","Cerastium"
"64","cf. Saxifraga oppositifolia-type","Saxifraga"
"65","Chaerophyllum-type","Chaerophyllum"
"66","Chamaenerion angustifolium","Chamaenerion"
"67","Cichorioideae","Cichorioideae"
"68","Cirsium-type","Cirsium"
"69","Cladium mariscus","Cladium"
"70","Clematis","Clematis"
"71","Cornus mas","Cornus"
"72","Cornus sanguinea","Cornus"
"73","Cornus undiff.","Cornus"
"74","Corydalis cava-type","Corydalis"
"75","Corylus","Corylus"
"76","Corylus avellana","Corylus"
"77","Crepis","Crepis"
"78","Cyperaceae","Cyperaceae"
"79","Daucus carota","Daucus"
"80","Daucus-type","Daucus"
"81","Dianthus-type","Dianthus"
"82","Dipsacus","Dipsacus"
"83","Dryas octopetala","Dryas"
"84","Dryas-type","Dryas"
"85","Echium","Echium"
"86","Ephedra distachya","Ephedra"
"87","Ephedra distachya-type","Ephedra"
"88","Ephedra fragilis","Ephedra"
"89","Ephedra fragilis-type","Ephedra"
"90","Epilobium","Epilobium"
"91","Erica","Erica"
"92","Ericaceae","Ericaceae"
"93","Ericaceae undiff.","Ericaceae"
"94","Eryngium","Eryngium"
"95","Fabaceae","Fabaceae"
"96","Fabaceae undiff.","Fabaceae"
"97","Faboideae","Faboideae"
"98","Fagopyrum","Fagopyrum"
"99","Fagus","Fagus"
"100","Fagus sylvatica","Fagus"
"101","Falcaria vulgaris","Falcaria"
"102","Falcaria-type","Falcaria"
"103","Fallopia convolvulus","Fallopia"
"104","Filipendula","Filipendula"
"105","Frangula","Frangula"
"106","Frangula alnus","Frangula"
"107","Fraxinus","Fraxinus"
"108","Fraxinus excelsior","Fraxinus"
"109","Fraxinus excelsior-type","Fraxinus"
"110","Gentiana","Gentiana"
"111","Geraniaceae","Geraniaceae"
"112","Geranium","Geranium"
"113","Geum","Geum"
"114","Geum-type","Geum"
"115","Gnaphalium-type","Gnaphalium"
"116","Gypsophila repens-type","Gypsophila"
"117","Gypsophila-type","Gypsophila"
"118","Hedera","Hedera"
"119","Hedera helix","Hedera"
"120","Helianthemum","Helianthemum"
"121","Heracleum","Heracleum"
"122","Hippocrepis-type","Hippocrepis"
"123","Hippophaë","Hippophae"
"124","Hippophaë rhamnoides","Hippophae"
"125","Hordeum-type","Cerealia"
"126","Humulus","Humulus"
"127","Hypericum","Hypericum"
"128","Hypericum perforatum-type","Hypericum"
"129","Ilex aquifolium","Ilex"
"130","Iris pseudacorus-type","Iris"
"131","Jasione","Jasione"
"132","Juglans","Juglans"
"133","Juglans regia","Juglans"
"134","Juncus","Juncus"
"135","Juniperus","Juniperus"
"136","Juniperus-type","Juniperus"
"137","Knautia","Knautia"
"138","Lamiaceae","Lamiaceae"
"139","Lamiaceae undiff.","Lamiaceae"
"140","Lamium-type","Lamium"
"141","Larix decidua","Larix"
"142","Lavandula","Lavandula"
"143","Ligusticum mutellina","Ligusticum"
"144","Ligustrum","Ligustrum"
"145","Liliaceae","Liliaceae"
"146","Liliaceae undiff.","Liliaceae"
"147","Liliaceae-type","Liliaceae"
"148","Linum usitatissimum-type","Linum"
"149","Lonicera xylosteum-type","Lonicera"
"150","Lotus","Lotus"
"151","Lotus-type","Lotus"
"152","Lygeum spartum","Lygeum"
"153","Lysimachia vulgaris-type","Lysimachia"
"154","Lythrum","Lythrum"
"155","Malvaceae","Malvaceae"
"156","Malvaceae sensu stricto","Malvaceae"
"157","Mentha-type","Mentha"
"158","Menyanthes trifoliata","Menyanthes"
"159","Mercurialis","Mercurialis"
"160","Mercurialis annua","Mercurialis"
"161","Mercurialis perennis","Mercurialis"
"162","Mercurialis perennis-type","Mercurialis"
"163","Muscari-type","Muscari"
"164","Myriophyllum","Myriophyllum"
"165","Myriophyllum spicatum","Myriophyllum"
"166","Myriophyllum spicatum-type","Myriophyllum"
"167","Nuphar","Nuphar"
"168","Nymphaea","Nymphaea"
"169","Odontites","Odontites"
"170","Odontites-type","Odontites"
"171","Oenanthe","Oenanthe"
"172","Olea europaea","Olea"
"173","Oxalis acetosella","Oxalis"
"174","Papaver","Papaver"
"175","Papaver rhoeas-type","Papaver"
"176","Parnassia","Parnassia"
"177","Pedicularis","Pedicularis"
"178","Persicaria amphibia","Persicaria"
"179","Persicaria maculosa-type","Persicaria"
"180","Peucedanum-type","Peucedanum"
"181","Picea","Picea"
"182","Picea abies","Picea"
"183","Pimpinella major-type","Pimpinella"
"184","Pimpinella-type","Pimpinella"
"185","Pinus","Pinus"
"186","Pinus cembra","Pinus"
"187","Pinus sylvestris-type","Pinus"
"188","Pistacia","Pistacia"
"189","Plantago alpina","Plantago"
"190","Plantago alpina-type","Plantago"
"191","Plantago lanceolata","Plantago"
"192","Plantago lanceolata-type","Plantago"
"193","Plantago major","Plantago"
"194","Plantago major-type","Plantago"
"195","Plantago major/P. media","Plantago"
"196","Plantago major/P. media-type","Plantago"
"197","Plantago media","Plantago"
"198","Plantago media-type","Plantago"
"199","Plantago montana","Plantago"
"200","Plantago sp.","Plantago"
"201","Plantago undiff.","Plantago"
"202","Plumbaginaceae","Plumbaginaceae"
"203","Poaceae","Poaceae"
"204","Poaceae (Cerealia-type)","Cerealia"
"205","Poaceae (Cerealia-type) undiff.","Cerealia"
"206","Poaceae (Cerealia)","Cerealia"
"207","Polygonaceae","Polygonaceae"
"208","Polygonum aviculare","Polygonum"
"209","Populus","Populus"
"210","Potamogeton","Potamogeton"
"211","Potamogeton-type","Potamogeton"
"212","Potentilla-type","Potentilla"
"213","Poterium sanguisorba","Poterium"
"214","Prunella-type","Prunella"
"215","Prunus-type","Prunus"
"216","Quercus","Quercus"
"217","Quercus coccifera","Quercus"
"218","Quercus ilex-type","Quercus"
"219","Quercus robur-type","Quercus"
"220","Ranunculaceae","Ranunculaceae"
"221","Ranunculus acris-type","Ranunculus"
"222","Ranunculus sect. Batrachium","Ranunculus"
"223","Ranunculus-type","Ranunculus"
"224","Rhamnus","Rhamnus"
"225","Rhamnus-type","Rhamnus"
"226","Rhinanthus","Rhinanthus"
"227","Rhinanthus-type","Rhinanthus"
"228","Rhynchospora","Rhynchospora"
"229","Ribes","Ribes"
"230","Rosa","Rosa"
"231","Rosaceae","Rosaceae"
"232","Rosaceae (trees)","Rosaceae"
"233","Rosaceae (trees) undiff.","Rosaceae"
"234","Rubiaceae","Rubiaceae"
"235","Rubus","Rubus"
"236","Rumex","Rumex"
"237","Rumex acetosa-type","Rumex"
"238","Rumex acetosella-type","Rumex"
"239","Rumex-type","Rumex"
"240","Salix","Salix"
"241","Sambucus nigra","Sambucus"
"242","Sambucus nigra-type","Sambucus"
"243","Sambucus racemosa","Sambucus"
"244","Sanguisorba minor-type","Sanguisorba"
"245","Sanguisorba officinalis","Sanguisorba"
"246","Sanguisorba officinalis-type","Sanguisorba"
"247","Saxifraga aizoides-type","Saxifraga"
"248","Saxifraga granulata-type","Saxifraga"
"249","Saxifragaceae","Saxifragaceae"
"250","Scleranthus","Scleranthus"
"251","Scorzonera-type","Scorzonera"
"252","Scrophulariaceae","Scrophulariaceae"
"253","Secale","Cerealia"
"254","Sedum","Sedum"
"255","Sedum-type","Sedum"
"256","Senecio-type","Senecio"
"257","Silene dioica","Silene"
"258","Silene dioica-type","Silene"
"259","Silene vulgaris","Silene"
"260","Silene vulgaris-type","Silene"
"261","Solanum","Solanum"
"262","Sorbus","Sorbus"
"263","Sorbus-type","Sorbus"
"264","Sparganium","Sparganium"
"265","Sparganium-type","Sparganium"
"266","Spermatophyta","Spermatophyta"
"267","Spermatophyta undiff. (cf. upland herbs)","Spermatophyta"
"268","Spermatophyta undiff. (upland herbs)","Spermatophyta"
"269","Succisa","Succisa"
"270","Taxus","Taxus"
"271","Taxus baccata","Taxus"
"272","Thalictrum","Thalictrum"
"273","Tilia","Tilia"
"274","Tilia cordata","Tilia"
"275","Torilis arvensis","Torilis"
"276","Torilis arvensis-type","Torilis"
"277","Torilis japonica","Torilis"
"278","Torilis japonica-type","Torilis"
"279","Trapa","Trapa"
"280","Trapa natans","Trapa"
"281","Trifolium","Trifolium"
"282","Trifolium pratense-type","Trifolium"
"283","Trifolium repens-type","Trifolium"
"284","Trifolium-type","Trifolium"
"285","Triticum-type","Cerealia"
"286","Trollius","Trollius"
"287","Tussilago farfara","Tussilago"
"288","Typha","Typha"
"289","Typha latifolia","Typha"
"290","Typha latifolia-type","Typha"
"291","Ulmus","Ulmus"
"292","Urtica","Urtica"
"293","Urtica dioica","Urtica"
"294","Urticaceae","Urticaceae"
"295","Utricularia","Utricularia"
"296","Vaccinium-type","Vaccinium"
"297","Valeriana","Valeriana"
"298","Valeriana dioica-type","Valeriana"
"299","Valeriana officinalis-type","Valeriana"
"300","Valeriana-type","Valeriana"
"301","Valerianoideae","Valerianoideae"
"302","Viburnum","Viburnum"
"303","Viburnum opulus-type","Viburnum"
"304","Violaceae","Violaceae"
"305","Viscum","Viscum"
"306","Viscum album","Viscum"
"307","Vitis","Vitis"
"308","Zea mays","Zea"
